Program,Paragraph,Line,LocationTag,PathCondition,StatementKind,TargetVariable,FormulaOrValue
ESCAL056,1000-EDIT-THE-BILL-INFO,260,ESCAL056:L260,IF PPS-RTC = 00 AND IF P-SPEC-PYMT-IND NOT = '1' AND ' ' AND IF PPS-RTC = 00 AND IF (B-DOB-DATE = ZERO) OR (B-DOB-DATE NOT NUMERIC) AND IF PPS-RTC = 00 AND IF (B-PATIENT-WGT = 0) OR (B-PATIENT-WGT NOT NUMERIC) AND IF PPS-RTC = 00 AND IF (B-PATIENT-HGT = 0) OR (B-PATIENT-HGT NOT NUMERIC) AND IF PPS-RTC = 00 AND IF B-REV-CODE = '0821' OR '0831' OR '0841' OR '0851' OR '0880' OR '0881' NEXT SENTENCE AND IF PPS-RTC = 00 AND IF B-COND-CODE NOT = '73' AND '74' AND ' ' AND IF PPS-RTC = 00 AND IF B-PATIENT-HGT > 300.00,MOVE,PPS-RTC,71
ESCAL056,1000-EDIT-THE-BILL-INFO,266,ESCAL056:L266,IF PPS-RTC = 00 AND IF P-SPEC-PYMT-IND NOT = '1' AND ' ' AND IF PPS-RTC = 00 AND IF (B-DOB-DATE = ZERO) OR (B-DOB-DATE NOT NUMERIC) AND IF PPS-RTC = 00 AND IF (B-PATIENT-WGT = 0) OR (B-PATIENT-WGT NOT NUMERIC) AND IF PPS-RTC = 00 AND IF (B-PATIENT-HGT = 0) OR (B-PATIENT-HGT NOT NUMERIC) AND IF PPS-RTC = 00 AND IF B-REV-CODE = '0821' OR '0831' OR '0841' OR '0851' OR '0880' OR '0881' NEXT SENTENCE AND IF PPS-RTC = 00 AND IF B-COND-CODE NOT = '73' AND '74' AND ' ' AND IF PPS-RTC = 00 AND IF B-PATIENT-HGT > 300.00 AND IF PPS-RTC = 00 AND IF B-PATIENT-WGT > 500.00,MOVE,PPS-RTC,72
ESCAL056,1200-CALC-AGE,282,ESCAL056:L282,ALWAYS (Unconditional),COMPUTE,H-PATIENT-AGE,B-THRU-CCYY - B-DOB-CCYY.
ESCAL056,1200-CALC-AGE,284,ESCAL056:L284,IF B-DOB-MM > B-THRU-MM,COMPUTE,H-PATIENT-AGE,H-PATIENT-AGE - 1
ESCAL056,1200-CALC-AGE,292,ESCAL056:L292,IF B-DOB-MM > B-THRU-MM AND IF H-PATIENT-AGE < 18,MOVE,H-AGE-FACTOR,1.620
ESCAL056,1200-CALC-AGE,292,ESCAL056:L292,IF B-DOB-MM > B-THRU-MM AND IF H-PATIENT-AGE < 18 AND IF H-PATIENT-AGE > 17 AND H-PATIENT-AGE < 45,MOVE,H-AGE-FACTOR,1.223
ESCAL056,1200-CALC-AGE,292,ESCAL056:L292,IF B-DOB-MM > B-THRU-MM AND IF H-PATIENT-AGE < 18 AND IF H-PATIENT-AGE > 17 AND H-PATIENT-AGE < 45 AND IF H-PATIENT-AGE > 44 AND H-PATIENT-AGE < 60,MOVE,H-AGE-FACTOR,1.055
ESCAL056,1200-CALC-AGE,292,ESCAL056:L292,IF B-DOB-MM > B-THRU-MM AND IF H-PATIENT-AGE < 18 AND IF H-PATIENT-AGE > 17 AND H-PATIENT-AGE < 45 AND IF H-PATIENT-AGE > 44 AND H-PATIENT-AGE < 60 AND IF H-PATIENT-AGE > 59 AND H-PATIENT-AGE < 70,MOVE,H-AGE-FACTOR,1.000
ESCAL056,1200-CALC-AGE,292,ESCAL056:L292,IF B-DOB-MM > B-THRU-MM AND IF H-PATIENT-AGE < 18 AND IF H-PATIENT-AGE > 17 AND H-PATIENT-AGE < 45 AND IF H-PATIENT-AGE > 44 AND H-PATIENT-AGE < 60 AND IF H-PATIENT-AGE > 59 AND H-PATIENT-AGE < 70 AND IF H-PATIENT-AGE > 69 AND H-PATIENT-AGE < 80,MOVE,H-AGE-FACTOR,1.094
ESCAL056,1200-CALC-AGE,292,ESCAL056:L292,IF B-DOB-MM > B-THRU-MM AND IF H-PATIENT-AGE < 18 AND IF H-PATIENT-AGE > 17 AND H-PATIENT-AGE < 45 AND IF H-PATIENT-AGE > 44 AND H-PATIENT-AGE < 60 AND IF H-PATIENT-AGE > 59 AND H-PATIENT-AGE < 70 AND IF H-PATIENT-AGE > 69 AND H-PATIENT-AGE < 80 AND IF H-PATIENT-AGE > 79,MOVE,H-AGE-FACTOR,1.174
